Frequency_desired,Amplitude_desired,Frequency_image,Amplitude_image,IRR
2340000000,-84.2342955399869,1860000000,-104.2084441538954,19.974148613908497
2350000000,-84.27180472891,1850000000,-104.1607066220813,19.888901893171308
2360000000,-84.3091427259516,1840000000,-104.1127295305427,19.80358680459109
2370000000,-84.3463253590772,1830000000,-104.0645254254867,19.71820006640951
2380000000,-84.383338906328,1820000000,-104.0160877639049,19.6327488575769
2390000000,-84.4201958330435,1810000000,-103.967394785104,19.547198952060512
2400000000,-84.4568961800949,1800000000,-103.9184192451947,19.461523065099797
2410000000,-84.4934473710712,1790000000,-103.8691179431039,19.375670572032703
2420000000,-84.5298300973271,1780000000,-103.8194768724145,19.28964677508739
2430000000,-84.5660670679376,1770000000,-103.7695060459673,19.20343897802971
2440000000,-84.6021506410795,1760000000,-103.7192105585371,19.117059917457595
2450000000,-84.6380784357755,1750000000,-103.6686098902404,19.030531454464906
2460000000,-84.6738659588238,1740000000,-103.6177084882865,18.9438425294627
2470000000,-84.7094873857903,1730000000,-103.5664970951365,18.8570097093462
2480000000,-84.7449768932611,1720000000,-103.5149795759933,18.770002682732198
2490000000,-84.780312369605,1710000000,-103.4631280240978,18.6828156544928
2500000000,-84.8155061061969,1700000000,-103.4109968772053,18.5954907710084
2510000000,-84.8505603268181,1690000000,-103.3585573678305,18.507997041012402
2520000000,-84.8854672779236,1680000000,-103.3057678243458,18.42030054642221
2530000000,-84.9202350097912,1670000000,-103.2526470220878,18.3324120122966
2540000000,-84.9548717250529,1660000000,-103.1992060553286,18.244334330275706
2550000000,-84.9893548824301,1650000000,-103.1454175340408,18.156062651610696
2560000000,-85.0237102615491,1640000000,-103.0912960355116,18.067585773962506
2570000000,-85.0579207291451,1630000000,-103.0368235274774,17.9789027983323
2580000000,-85.0919997775318,1620000000,-102.98200443887,17.89000466133821
2590000000,-85.1259431832774,1610000000,-102.9268244348974,17.800881251619998
2600000000,-85.1597524072298,1600000000,-102.8712830862446,17.7115306790148
2610000000,-85.1934239615621,1590000000,-102.815389185535,17.621965223972893
2620000000,-85.2269872057178,1580000000,-102.7591101813454,17.5321229756276
2630000000,-85.2603999173055,1570000000,-102.7024675451475,17.442067627841993
2640000000,-85.2936868209336,1560000000,-102.6454316756681,17.351744854734505
2650000000,-85.3268470154012,1550000000,-102.5880191672311,17.261172151829896
2660000000,-85.3598709420611,1540000000,-102.5301946306434,17.1703236885823
2670000000,-85.3927845563962,1530000000,-102.4720039074679,17.0792193510717
2680000000,-85.4255576544429,1520000000,-102.4133979396893,16.987840285246406
2690000000,-85.4582240540845,1510000000,-102.3543889106314,16.896164856546903
2700000000,-85.4907439686691,1500000000,-102.2949444564736,16.804200487804508
