Time_s,Filtered_Signal
0.041,-0.005022892
0.0411,1.21870319
0.0412,0.929292823
0.0413,-0.46949168
0.0414,-1.3285446
0.0415,-1.001896079
0.0416,-0.581076381
0.0417,-1.156262148
0.0418,-2.093883922
0.0419,-1.795542874
0.042,0.060590529
0.0421,1.897669867
0.0422,2.154713469
0.0423,1.181955085
0.0424,0.586765287
0.0425,0.989257808
0.0426,1.290456471
0.0427,0.411877957
0.0428,-0.983220241
0.0429,-1.251662577
0.043,-0.016137189
0.0431,1.207266366
0.0432,0.917650385
0.0433,-0.481221938
0.0434,-1.340245184
0.0435,-1.013450958
0.0436,-0.592372128
0.0437,-1.167189041
0.0438,-2.104336996
0.0439,-1.805422922
0.044,0.051376033
0.0441,1.88920591
0.0442,2.14707673
0.0443,1.175213256
0.0444,0.580976491
0.0445,0.984470113
0.0446,1.286707514
0.0447,0.409194675
0.0448,-0.984821774
0.0449,-1.252177204
0.045,-0.015570608
0.0451,1.208897764
0.0452,0.920319786
0.0453,-0.477551401
0.0454,-1.335619965
0.0455,-1.007926539
0.0456,-0.58601238
0.0457,-1.160065503
0.0458,-2.09652809
0.0459,-1.797013102
0.046,0.060297179
0.0461,1.8985446
0.0462,2.156735966
0.0463,1.185093817
0.0464,0.590977944
0.0465,0.994491822
0.0466,1.296649643
0.0467,0.418959172
0.0468,-0.97533022
0.0469,-1.243050239
0.047,-0.006895345
0.0471,1.217039572
0.0472,0.927852502
0.0473,-0.470696607
0.0474,-1.329504495
0.0475,-1.002603838
0.0476,-0.581527476
0.0477,-1.156454648
0.0478,-2.093818486
0.0479,-1.79522272
0.048,0.061159684
0.0481,1.898479888
0.0482,2.155753905
0.0483,1.183213299
0.0484,0.588226604
0.0485,0.990905679
0.0486,1.292272656
0.0487,0.413842725
0.0488,-0.981127901
0.0489,-1.249464737
0.049,-0.013856749
0.0491,1.209605913
0.0492,0.92002519
0.0493,-0.478835835
0.0494,-1.337871618
0.0495,-1.011113402
0.0496,-0.590093464
0.0497,-1.164991336
0.0498,-2.102241295
0.0499,-1.803449044
0.05,0.053209676
0.0501,1.890882482
0.0502,2.148581127
0.0503,1.176532235
0.0504,0.582098782
0.0505,0.985386517
0.0506,1.287410969
0.0507,0.409680305
0.0508,-0.984556629
0.0509,-1.252132986
0.051,-0.015745559
0.0511,1.208507565
0.0512,0.919720359
0.0513,-0.478352015
0.0514,-1.336611803
0.0515,-1.009097839
0.0516,-0.587349711
0.0517,-1.161553916
0.0518,-2.098151285
0.0519,-1.798753601
0.052,0.058457847
0.0521,1.896625706
0.0522,2.154757378
0.0523,1.183075801
0.0524,0.588940954
0.0525,0.992456299
0.0526,1.294635809
0.0527,0.416986832
0.0528,-0.977241869
0.0529,-1.244882796
0.053,-0.008631378
0.0531,1.215416362
0.0532,0.92635713
0.0533,-0.472050546
0.0534,-1.330704948
0.0535,-1.003640397
0.0536,-0.582391466
0.0537,-1.157139198
0.0538,-2.094318574
0.0539,-1.795535211
0.054,0.061036032
0.0541,1.898544423
0.0542,2.156004115
0.0543,1.183644848
0.0544,0.588833397
0.0545,0.99167994
0.0546,1.293205021
0.0547,0.414922352
0.0548,-0.979913212
0.0549,-1.248128405
0.055,-0.012413271
0.0551,1.21114112
0.0552,0.921635951
0.0553,-0.477166287
0.0554,-1.336160465
0.0555,-1.00937807
0.0556,-0.588351446
0.0557,-1.163260018
0.0558,-2.100537783
